rewire_id,label_pred
sexism2022_english-11999,not sexist
sexism2022_english-9895,not sexist
sexism2022_english-11623,not sexist
sexism2022_english-19035,not sexist
sexism2022_english-895,not sexist
sexism2022_english-9656,not sexist
sexism2022_english-12064,not sexist
sexism2022_english-1602,not sexist
sexism2022_english-7039,not sexist
sexism2022_english-3399,not sexist
sexism2022_english-4749,not sexist
sexism2022_english-14356,not sexist
sexism2022_english-3311,not sexist
sexism2022_english-739,not sexist
sexism2022_english-10510,not sexist
sexism2022_english-8207,not sexist
sexism2022_english-7679,not sexist
sexism2022_english-18028,not sexist
sexism2022_english-10787,not sexist
sexism2022_english-7302,not sexist
sexism2022_english-15773,not sexist
sexism2022_english-5012,not sexist
sexism2022_english-5728,not sexist
sexism2022_english-9082,not sexist
sexism2022_english-2821,not sexist
sexism2022_english-15012,not sexist
sexism2022_english-4586,not sexist
sexism2022_english-18170,not sexist
sexism2022_english-742,not sexist
sexism2022_english-6565,not sexist
sexism2022_english-8009,not sexist
sexism2022_english-1122,not sexist
sexism2022_english-18547,not sexist
sexism2022_english-6425,not sexist
sexism2022_english-14157,not sexist
sexism2022_english-10001,not sexist
sexism2022_english-3900,not sexist
sexism2022_english-12741,not sexist
sexism2022_english-17385,not sexist
sexism2022_english-17447,not sexist
sexism2022_english-8584,not sexist
sexism2022_english-14096,not sexist
sexism2022_english-12980,not sexist
sexism2022_english-12020,not sexist
sexism2022_english-19606,not sexist
sexism2022_english-16633,not sexist
sexism2022_english-19748,not sexist
sexism2022_english-13063,not sexist
sexism2022_english-19630,not sexist
sexism2022_english-15023,not sexist
sexism2022_english-3623,not sexist
sexism2022_english-814,not sexist
sexism2022_english-3282,not sexist
sexism2022_english-10451,not sexist
sexism2022_english-8553,not sexist
sexism2022_english-17476,not sexist
sexism2022_english-11590,not sexist
sexism2022_english-15213,not sexist
sexism2022_english-13520,not sexist
sexism2022_english-15941,not sexist
sexism2022_english-2139,not sexist
sexism2022_english-9349,not sexist
sexism2022_english-8766,not sexist
sexism2022_english-587,not sexist
sexism2022_english-514,not sexist
sexism2022_english-9169,not sexist
sexism2022_english-14287,not sexist
sexism2022_english-3699,not sexist
sexism2022_english-15761,not sexist
sexism2022_english-512,not sexist
sexism2022_english-17817,not sexist
sexism2022_english-18779,not sexist
sexism2022_english-15536,not sexist
sexism2022_english-13537,not sexist
sexism2022_english-14791,not sexist
sexism2022_english-7758,not sexist
sexism2022_english-15001,not sexist
sexism2022_english-12208,not sexist
sexism2022_english-13279,not sexist
sexism2022_english-2383,not sexist
sexism2022_english-1214,not sexist
sexism2022_english-10293,not sexist
sexism2022_english-7628,not sexist
sexism2022_english-18543,not sexist
sexism2022_english-7997,not sexist
sexism2022_english-19302,not sexist
sexism2022_english-9921,not sexist
sexism2022_english-14501,not sexist
sexism2022_english-2162,not sexist
sexism2022_english-11492,not sexist
sexism2022_english-15180,not sexist
sexism2022_english-15646,not sexist
sexism2022_english-4670,not sexist
sexism2022_english-17466,not sexist
sexism2022_english-13107,not sexist
sexism2022_english-2894,not sexist
sexism2022_english-1245,not sexist
sexism2022_english-12306,not sexist
sexism2022_english-4479,not sexist
sexism2022_english-1229,not sexist
sexism2022_english-12468,not sexist
sexism2022_english-16046,not sexist
sexism2022_english-16360,not sexist
sexism2022_english-18961,not sexist
sexism2022_english-1179,not sexist
sexism2022_english-14822,not sexist
sexism2022_english-3704,not sexist
sexism2022_english-439,not sexist
sexism2022_english-12288,not sexist
sexism2022_english-1174,not sexist
sexism2022_english-15084,not sexist
sexism2022_english-17759,not sexist
sexism2022_english-11620,not sexist
sexism2022_english-6008,not sexist
sexism2022_english-11865,not sexist
sexism2022_english-10474,not sexist
sexism2022_english-1000,not sexist
sexism2022_english-21,not sexist
sexism2022_english-5502,not sexist
sexism2022_english-16293,not sexist
sexism2022_english-1369,not sexist
sexism2022_english-161,not sexist
sexism2022_english-13818,not sexist
sexism2022_english-3511,not sexist
sexism2022_english-17294,not sexist
sexism2022_english-7429,not sexist
sexism2022_english-3132,not sexist
sexism2022_english-2904,not sexist
sexism2022_english-4706,not sexist
sexism2022_english-16211,not sexist
sexism2022_english-4893,not sexist
sexism2022_english-16622,not sexist
sexism2022_english-1940,not sexist
sexism2022_english-9444,not sexist
sexism2022_english-12400,not sexist
sexism2022_english-16460,not sexist
sexism2022_english-18955,not sexist
sexism2022_english-11682,not sexist
sexism2022_english-2126,not sexist
sexism2022_english-6313,not sexist
sexism2022_english-12925,not sexist
sexism2022_english-12039,not sexist
sexism2022_english-11870,not sexist
sexism2022_english-2297,not sexist
sexism2022_english-12847,not sexist
sexism2022_english-17382,not sexist
sexism2022_english-14982,not sexist
sexism2022_english-344,not sexist
sexism2022_english-16496,not sexist
sexism2022_english-18924,not sexist
sexism2022_english-19253,not sexist
sexism2022_english-8059,not sexist
